ADP CHNG Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/30/2008,8/30/2008,9/30/2008,10/30/2008,11/30/2008,12/30/2008,1/30/2009,2/28/2009,3/30/2009,4/30/2009,5/30/2009,6/30/2009,7/30/2009,8/30/2009,9/30/2009,10/30/2009,11/30/2009,12/30/2009,1/30/2010,2/28/2010,3/30/2010,4/30/2010,5/30/2010,6/30/2010,7/30/2010,8/30/2010,9/30/2010,10/30/2010,11/30/2010,12/30/2010,1/30/2011,2/28/2011,3/30/2011,4/30/2011,5/30/2011,6/30/2011,7/30/2011,8/30/2011,9/30/2011,10/30/2011,11/30/2011,12/30/2011,1/30/2012,2/29/2012,3/30/2012,4/30/2012,5/30/2012,6/30/2012,7/30/2012,8/30/2012,9/30/2012,10/30/2012,11/30/2012,12/30/2012,1/30/2013,2/28/2013,3/30/2013,4/30/2013,5/30/2013,6/30/2013,7/30/2013
,1,0,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,0,0,1,-1,0,1,-1,-1,1,1,1,1,-1,0,-1,-1,1,-1,0,1,1,0,1,-1,1,1,-1,0,1,1,1,1,1,-1,1,0,1,-1,-1,-1,1
 BNP Paribas,-1,0,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,0,-1,-1,0,1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Briefing.com,0,0,0,0,0,0,0,1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,1,-1,1,1,-1,0,-1,-1,-1,-1,0,-1,-1,0,1,-1,1,1,-1,0,1,1,1,-1,1,-1,1,0,-1,0,0,0,0
 DZ Bank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1
" Goldman, Sachs & Co.",1,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Intesa Sanpaolo,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
 Merrill Lynch/BAS,1,0,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Nomura Securities Intl Inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
 Pierian Capital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Stone & McCarthy Research,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Chan JPMorgan's Private Wealth Man.,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avery Shenfeld CIBC World Markets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bastian Hepperle WestLB AG,1,0,-1,1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,1,-1,0,1,-1,0,-1,-1,-1,1,-1,-1,1,-1,0,-1,-1,0,-1,0,1,1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bernd Krampen Nord/LB,1,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,0,-1,-1,-1,1,0,-1,-1,0,-1,-1,1,-1,0,1,-1,0,1,-1,-1,-1,-1,0,0,0,-1,0,0,-1,-1,0,1,-1,-1,-1,-1
Beth Ann Bovino Standard & Poor's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bill Cheney John Hancock Financial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,-1,1,0,1,-1,0,0,0
Brian M. Jones Societe Generale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,0,-1,-1,1,-1,0,-1,-1,0,-1,-1,1,-1,-1,0,-1,1,1,-1,-1,-1,1,0,1,-1,-1,-1,1
Christian Reicherter DZ Bank,1,0,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,0,1,-1,0,1,-1,0,1,-1,0,1,1,0,1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,-1,0,-1,0,0,1,-1,1,0,0,0,0,0,0,0,0,0
Christiane Von Berg Bayerische Landesbank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,-1,-1
Christoph Schroeter Bayerische Landesbank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,1,0,1,-1,0,0,-1,0,1,1,1,-1,1,-1,0,0,0,0,0,0,0
Concepcion Sanz Banesto,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,-1,-1,0,-1,1,0,-1,-1,0,1,-1,-1,1,1,0,0,-1,0,-1,-1,-1,-1,0,1,1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crandall/Jordan Wrightson ICAP,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,-1,-1,-1,1,0,0,0,-1,0,-1,-1,0,1,1,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Milleker Union Investment,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,0,-1,-1,0,-1,-1,-1,-1,1,0,1,-1,0,0,-1,0,0,0,1,-1,0,0,0,-1,0,-1,0,0,-1,-1,0,-1,0,1,0,0,0,-1,-1,0
David Resler Nomura Securities Intl.,-1,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,1,-1,-1,0,-1,-1,1,-1,0,1,1,0,1,-1,1,1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0
David Semmens Standard Chartered,0,0,0,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,0,-1,0,0,0,0,-1,-1,0,-1,-1,-1,-1,1,-1,1,-1,0,-1,-1,-1,-1,0,-1,-1,0,0,-1,1,1,-1,0,1,1,1,1,1,-1,1,0,0,0,0,0,0
David Sloan 4CAST Ltd.,1,0,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,1,-1,0,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Derek Holt Scotiabank,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,0,0,-1,-1,0,1,-1,0,0,-1,0,1,1,1,1,-1,0,-1,-1,1,-1,0,-1,-1,0,1,0,-1,1,-1,0,-1,1,1,-1,1,-1,1,0,1,-1,-1,-1,1
Dirk Chlench Landesbank BW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,1,0,1,-1,0,-1,-1,0,-1,0,1,1,0,1,-1,1,1,-1,0,1,-1,-1,-1,-1,0,1,0,1,-1,-1,-1,1
Douglas Porter BMO Capital Markets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,1
E. Green/M. Mulraine TD Securities,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,0,0,-1,0,-1,-1,-1,1,-1,-1,1,-1,0,-1,-1,1,-1,0,1,1,0,-1,-1,-1,-1,-1,0,1,-1,-1,1,-1,-1,-1,0,1,-1,-1,-1,1
Ellen Zentner Nomura Securities Intl.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,1,-1,-1,-1,0
Ethan Harris BofA Merrill Lynch Research,1,0,-1,1,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,-1,1,-1,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,1,-1,0,1,-1,0,1,-1,-1,-1,-1,0,1,-1,0,1,-1,-1,-1,0,1,-1,-1,-1,-1
Gabriel Casillas Banorte-IXE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,1,-1,-1,-1,-1
Gareth Ryan Iur Capital Llc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,0,-1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
Hiroki Shimazu SMBC Nikko Securities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,0,-1,1,0,1,-1,1,1,-1,0,1,1,1,0,1,-1,1,0,1,-1,-1,-1,1
Hu/Garatti C I T I C Securities,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,0,-1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hugh Johnson Hugh Johnson Advisors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,0,0,0,0,0,-1,0,1,1,0,-1,0,-1,0,1,-1,0,1,1,0,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1
Ian Morris HSBC Markets,-1,0,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ian Shepherdson High Frequency Economics,1,0,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,0,1,-1,0,-1,-1,-1,1,1,1,-1,-1,0,-1,-1,1,-1,0,-1,1,0,-1,-1,1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ian Shepherdson Pantheon Macroeconomics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,-1,-1
James Shugg Westpac Banking Co.,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,0,-1,1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1
Jean-Pierre Petit Exane,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeavon Lolay Lloyds Bank Wbm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-1,-1,1,0,1,0,0,0,0
Jill Kalani/Guy Lebas Janney Montgomery Scott LLC,1,0,-1,1,-1,-1,-1,0,-1,-1,1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,0,1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,1,-1,0,-1,-1,1,1,-1,0,-1,-1,-1,-1,-1,-1,1,0,1,-1,-1,-1,1
Jim O'Sullivan High Frequency Economics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,-1,1,0,1,-1,-1,-1,1
Joe Brusuelas Merk Investments,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe LaVorgna Deutsche Bank Securities,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1,0,0,0,0,0,-1,1,-1,0,1,-1,0,-1,-1,1,1,-1,0,1,0,1,-1,-1,-1,1,0,-1,-1,0,-1,-1
Joerg Angele Raiffeisenbank International,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,-1,1,1,-1,0,0,1,1,1,-1,-1,1,0,-1,-1,-1,0,-1
John Herrmann Herrmann Forecasting LLC,0,0,0,0,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,0,1,-1,0,1,-1,-1,1,1,-1,-1,-1,0,-1,-1,1,-1,0,1,1,0,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joseph Brusuelas Brusuelas Analytics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joseph Brusuelas Moody's Economy.com,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julia Coronado BNP Paribas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,1,-1,0,0,1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,0,1,-1,-1,-1,1
Kenneth Broux Lloyds TSB,1,0,-1,1,-1,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Harris Informa Global Markets,0,0,-1,0,-1,-1,-1,-1,-1,0,1,-1,-1,0,-1,0,-1,-1,-1,1,-1,0,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,0,0,0,1,-1,0,-1,-1,0,-1,-1,1,-1,-1,0,-1,-1,-1,1,-1,0,-1,0,-1,-1,-1,0,0
Knightley/Carnell/Brosens ING Financial Markets,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,0,-1,-1,0,1,-1,-1,1,1,1,1,-1,0,-1,-1,-1,-1,0,-1,1,0,1,-1,1,1,-1,0,1,1,1,1,0,-1,-1,0,-1,-1,-1,-1,0
Lena Komileva Tullett Prebon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,-1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Littleton/Sloan Thomson Reuters/IFR,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,-1,-1,-1,1,-1,0,1,-1,0,1,-1,-1,1,1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Markus Schomer PineBridge Investments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Matthias Huth Landesbank BW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Max Clarke IDEAglobal,1,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,0,1,-1,0,1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,1,-1,0,-1,-1,-1,-1,-1,0,1,1,1,1,1,-1,-1,0,1,-1,-1,-1,1
Mike Englund Action Economics,1,0,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,1,-1,0,1,-1,-1,1,1,1,1,-1,0,-1,-1,1,-1,0,1,1,0,-1,-1,1,1,-1,0,-1,1,1,1,1,-1,-1,0,-1,-1,-1,-1,-1
Mufteeva/Julien Natixis,-1,0,-1,-1,-1,-1,-1,1,-1,-1,1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,0,1,-1,0,1,-1,-1,1,-1,1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,0,-1,1,-1,1,1,-1,1,0,-1,-1,-1,-1,-1
Nathaniel Karp BBVA,-1,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,1,1,0,1,1,0,0,0,-1,-1,0,1,1,0,0,0,1,-1,-1,0,1,1,-1,-1,1,-1,-1,0,-1,-1,-1,-1,-1
Neil Dutta Renaissance Macro Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,1
P. de Bruin/M. Cabezas ABN Amro Inc.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,-1,-1,1,-1,0,-1,1,0,1,-1,1,0,-1,0,1,1,1,-1,1,-1,1,0,-1,0,0,-1,1
Peter Morici University of Maryland,1,0,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,0,1,-1,-1,1,-1,-1,1,-1,0,-1,-1,-1,-1,0,1,-1,0,-1,-1,-1,-1,-1,0,-1,1,1,-1,1,-1,-1,0,-1,-1,-1,-1,-1
Possing/Roed-Frederiksen Danske Bank,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhys Herbert Lloyds Tsb Bank Plc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1
Richard DeKaser Parthenon Group,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,-1,1,-1,0,-1,-1,0,-1,-1,-1,0,0,0,0,-1,0,-1,-1,0,-1,0,-1,-1,0,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Brusca Fact & Opinion Economics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,-1,-1,-1,-1,0,1,1,0,1,-1,1,1,-1,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0
Russell Price Ameriprise Financial Inc,1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,0,1,-1,0,-1,-1,-1,1,-1,1,1,-1,0,-1,-1,-1,-1,0,-1,-1,0,1,-1,-1,-1,-1,0,-1,1,-1,-1,1,-1,1,0,1,-1,-1,-1,1
Ryan Wang HSBC Markets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,0,-1,-1,0,1,-1,-1,-1,-1,1,-1,-1,0,-1,-1,1,-1,0,-1,1,0,1,-1,-1,-1,-1,0,1,1,1,1,-1,-1,-1,0,-1,-1,-1,-1,-1
Scott Anderson Bank of the West,0,0,0,1,-1,0,-1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,-1,0,-1,-1,-1,-1,-1
Scott Brown Raymond James,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,1,1,1,-1,1,0,1,0,-1,-1,-1,-1,1
Sherry Cooper BMO Capital Markets,1,0,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,1,-1,0,1,-1,-1,-1,-1,1,0,-1,0,0,-1,1,-1,0,-1,-1,0,-1,-1,1,1,-1,0,-1,-1,-1,-1,1,-1,1,0,0,0,0,0,0
Sloan/Incremona 4CAST Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,-1,0,-1,-1,1,-1,0,-1,-1,0,1,-1,1,1,-1,0,-1,-1,1,1,1,-1,-1,0,1,-1,-1,-1,-1
Smith/Sweet Moody's Analytics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,-1,-1,0,1,-1,-1,0,1,-1,1,-1,0,-1,-1,1,-1,0,0,1,0,-1,-1,1,-1,-1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
Stephen Gallagher Societe Generale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephen Gallo Schneider Foreign Exchange,-1,0,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephen Stanley RBS Securities Inc.,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steven Ricchiuto Mizuho Securities,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,-1,0,-1,-1,-1,-1,0,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,1,0,1,1,0,-1,-1,-1,-1,0,0,0,0,1,0,0,-1,1,0,0,-1,-1,-1,-1
Steven Wood Insight Economics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,-1,0,1,0,-1,1,1,1,1,1,0,-1,-1,1,1,0,1,-1,0,1,-1,-1,1,-1,0,1,1,0,1,1,-1,1,0,0,0,0,0,0
T. Costerg/S. Weng Standard Chartered Bank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1
Ward McCarthy Jefferies LLC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,-1,0,1,-1,-1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,0,-1,1,0,1,-1,-1,-1,1
Weidensteiner/Balz Commerzbank AG,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,-1,-1,1,-1,0,1,-1,0,1,0,-1,-1,1,1,1,-1,0,-1,-1,-1,-1,0,1,1,0,-1,-1,1,1,-1,0,-1,1,1,1,0,-1,-1,0,1,-1,-1,-1,1
"William Jordan Ried, Thunberg & Co.",-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,-1,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
